customer_id,tenure_months,plan_type,monthly_charges,total_charges,internet_service,payment_method,n_complaints_30d,severity,reopen_count,open_unresolved_count,n_contacts_30d,channel,n_repeat_contacts,escalation_count,first_contact_resolved,avg_resolution_hours,max_resolution_hours,sla_breached,pending_age_days,csat_score,days_since_last_complaint,churned
CUST-1000,2,Month-to-month,53.85,108.15,DSL,Mailed check,0,Low,0,0,2,Chat,0,1,0,5.8,12.8,0,0.0,2.4,133,1
CUST-1001,2,Month-to-month,70.7,151.65,Fiber optic,Electronic check,1,Low,1,0,2,Call,1,0,0,7.4,29.5,0,0.0,4.3,4,1
CUST-1002,8,Month-to-month,99.65,820.5,Fiber optic,Electronic check,1,Low,0,1,1,Ticket,1,1,1,14.2,21.8,0,0.6,2.4,18,1
CUST-1003,28,Month-to-month,104.8,3046.05,Fiber optic,Electronic check,1,Low,0,1,2,Email,0,0,1,33.9,61.6,0,0.2,4.2,7,1
CUST-1004,49,Month-to-month,103.7,5036.3,Fiber optic,Bank transfer (automatic),3,Low,1,0,4,Call,0,1,1,31.4,60.8,0,0.0,5.0,27,1
CUST-1005,10,Month-to-month,55.2,528.35,DSL,Credit card (automatic),1,Medium,4,1,1,Email,0,0,0,4.7,4.8,0,0.1,2.6,4,1
CUST-1006,1,Month-to-month,39.65,39.65,DSL,Electronic check,0,Medium,0,1,0,Call,1,0,0,17.4,23.3,0,0.9,4.5,171,1
CUST-1007,1,Month-to-month,20.15,20.15,No,Mailed check,2,Low,0,0,2,Email,0,1,0,17.0,43.2,0,0.0,3.1,11,1
CUST-1008,47,Month-to-month,99.35,4749.15,Fiber optic,Electronic check,2,Medium,1,0,2,Ticket,0,1,1,19.5,19.6,0,0.0,3.0,29,1
CUST-1009,1,Month-to-month,30.2,30.2,DSL,Electronic check,0,Low,0,0,0,Email,1,0,1,8.7,10.0,0,0.0,3.8,125,1
CUST-1010,17,Month-to-month,64.7,1093.1,DSL,Mailed check,1,High,1,0,1,Call,0,1,1,29.1,35.9,0,0.0,4.3,6,1
CUST-1011,5,Month-to-month,69.7,316.9,Fiber optic,Electronic check,0,Low,1,0,0,Ticket,0,1,1,7.6,54.7,0,0.0,2.9,37,1
CUST-1012,34,Month-to-month,106.35,3549.25,Fiber optic,Electronic check,1,Medium,0,0,1,Call,0,0,1,9.2,40.6,0,0.0,4.5,17,1
CUST-1013,11,Month-to-month,97.85,1105.4,Fiber optic,Bank transfer (automatic),1,Medium,0,1,1,Call,1,0,0,4.9,15.5,0,1.6,4.3,13,1
CUST-1014,2,Month-to-month,80.65,144.15,Fiber optic,Electronic check,1,Low,0,0,1,Chat,1,0,0,4.0,7.5,0,0.0,4.0,4,1
CUST-1015,15,Month-to-month,99.1,1426.4,Fiber optic,Credit card (automatic),3,High,1,0,3,Email,0,0,1,49.0,61.3,1,0.0,4.1,12,1
CUST-1016,8,Month-to-month,80.65,633.3,Fiber optic,Credit card (automatic),0,Low,0,0,1,Call,1,1,1,11.5,16.2,0,0.0,3.9,134,1
