customer_id,tenure_months,plan_type,region,segment,n_complaints_30d,severity,reopen_count,open_unresolved_count,n_contacts_30d,channel,n_repeat_contacts,escalation_count,first_contact_resolved,avg_resolution_hours,max_resolution_hours,sla_breached,pending_age_days,csat_score,usage_last_30d,usage_change_pct,last_active_days_ago,days_since_last_complaint,churned
CUST-1000,52,Premium,South,Individual,1,Low,0,1,1,Ticket,0,0,1,35.9,44.0,0,0.3,2.2,117.7,-14.6,8,1,0
CUST-1001,15,Basic,East,Individual,3,Low,2,0,3,Email,0,1,1,12.5,30.0,0,0.0,2.7,110.4,-8.1,0,26,1
CUST-1002,61,Standard,North,Small Business,0,Medium,0,0,0,Ticket,0,3,0,7.4,14.3,0,0.0,4.2,146.2,3.8,0,153,1
CUST-1003,21,Standard,West,Individual,1,High,0,0,2,Call,0,0,0,0.2,7.9,0,0.0,4.0,133.2,-4.8,0,3,1
CUST-1004,24,Standard,North,Individual,0,Medium,1,0,0,Call,1,0,1,23.6,29.5,0,0.0,3.9,149.4,-6.4,7,178,1
CUST-1005,3,Basic,North,Small Business,2,Low,1,2,2,Ticket,0,0,1,6.1,74.4,0,0.1,4.1,149.6,-16.6,6,8,0
CUST-1006,22,Standard,North,Small Business,1,High,1,0,1,Call,0,1,1,10.0,20.6,0,0.0,4.7,82.3,-21.6,4,19,0
CUST-1007,53,Basic,East,Individual,0,Medium,0,0,1,Chat,0,0,0,11.2,15.0,0,0.0,4.6,70.0,14.9,1,151,1
CUST-1008,2,Basic,West,Small Business,0,Medium,0,0,0,Ticket,0,0,1,38.5,51.0,0,0.0,5.0,146.5,-24.1,2,137,1
CUST-1009,30,Standard,South,Individual,0,High,0,0,1,Chat,1,0,0,38.1,47.6,0,0.0,4.5,79.0,-25.7,3,173,1
CUST-1010,38,Standard,North,Individual,2,High,1,0,3,Call,0,0,1,29.9,52.6,0,0.0,1.0,101.3,-8.4,17,29,1
CUST-1011,2,Standard,West,Individual,0,Medium,1,0,0,Chat,0,0,0,29.1,70.3,0,0.0,4.6,92.0,-17.5,1,144,1
CUST-1012,64,Premium,West,Small Business,0,Medium,0,0,0,Ticket,1,0,1,13.7,15.4,0,0.0,3.8,73.6,-13.8,2,87,0
CUST-1013,60,Basic,South,Small Business,1,Medium,1,0,2,Chat,1,0,1,31.3,90.9,0,0.0,3.9,83.0,-14.1,5,28,0
CUST-1014,21,Basic,North,Small Business,1,Low,0,1,1,Chat,0,1,0,39.1,41.8,0,0.2,3.8,74.1,-16.4,1,17,1
CUST-1015,33,Standard,East,Individual,0,Medium,0,0,2,Call,0,0,0,13.8,18.6,0,0.0,4.9,58.0,-8.2,0,121,1
CUST-1016,58,Basic,West,Individual,0,Low,0,1,0,Call,0,0,0,46.1,68.5,0,0.2,3.2,86.5,0.1,2,33,1
CUST-1017,22,Basic,South,Individual,3,Low,1,1,3,Ticket,0,2,0,92.9,95.4,1,1.7,2.6,119.0,-9.3,3,22,1
CUST-1018,49,Basic,East,Individual,0,Medium,0,0,2,Ticket,0,0,0,3.9,29.4,0,0.0,3.6,151.3,-16.6,5,97,0
CUST-1019,59,Basic,West,Individual,2,Low,1,4,2,Call,0,0,1,77.3,94.1,1,11.9,3.8,106.0,-1.6,7,3,1
CUST-1020,42,Premium,North,Enterprise,1,Medium,0,2,2,Email,0,0,0,5.6,30.2,0,5.5,4.5,78.3,-18.8,10,8,1
CUST-1021,60,Basic,West,Small Business,0,Medium,1,1,1,Call,0,0,0,54.4,66.8,1,3.5,3.0,123.6,-2.0,2,170,0
CUST-1022,15,Standard,East,Individual,2,High,0,0,3,Email,0,1,1,38.1,100.3,0,0.0,4.6,93.6,14.3,3,10,1
CUST-1023,62,Basic,East,Individual,0,Low,1,0,1,Chat,0,0,1,49.6,63.0,1,0.0,5.0,106.1,-28.7,9,87,0
CUST-1024,62,Standard,North,Individual,2,High,0,1,2,Ticket,1,1,1,12.4,19.9,0,0.2,2.8,135.8,-1.8,3,12,0
CUST-1025,47,Basic,North,Small Business,3,High,0,0,3,Chat,1,0,0,3.3,54.2,0,0.0,2.3,125.4,-7.5,0,23,0
CUST-1026,62,Standard,South,Small Business,1,Medium,1,0,1,Chat,2,0,0,5.0,6.2,0,0.0,4.6,35.9,2.0,2,16,0
CUST-1027,51,Standard,North,Small Business,2,Medium,0,0,3,Call,0,1,1,7.3,18.1,0,0.0,3.2,108.3,-2.1,7,15,0
CUST-1028,55,Basic,South,Individual,1,Low,2,1,1,Ticket,0,0,0,5.7,20.7,0,5.4,2.4,87.5,-29.4,3,6,1
CUST-1029,64,Standard,East,Individual,1,High,0,0,3,Email,0,1,1,68.5,74.8,1,0.0,3.3,102.2,14.7,1,25,0
CUST-1030,3,Basic,East,Enterprise,2,Medium,0,2,2,Call,0,0,1,3.4,4.8,0,6.0,1.6,66.4,-30.6,14,23,1
CUST-1031,51,Standard,West,Enterprise,0,Low,0,1,0,Call,0,0,0,23.2,31.1,0,1.9,3.0,96.4,-6.2,1,77,1
CUST-1032,7,Basic,West,Individual,2,Low,0,0,3,Chat,0,0,1,14.3,39.3,0,0.0,4.4,62.6,-20.4,3,7,0
CUST-1033,21,Premium,South,Individual,2,Medium,0,0,2,Email,0,0,0,0.7,13.4,0,0.0,5.0,122.1,5.9,2,2,1
CUST-1034,39,Basic,North,Individual,0,Low,0,0,0,Call,0,0,0,4.8,26.0,0,0.0,3.7,137.2,-9.5,2,33,1
CUST-1035,18,Standard,North,Small Business,3,Medium,0,0,3,Ticket,0,0,1,54.2,73.2,1,0.0,2.8,78.6,-24.6,5,3,1
CUST-1036,4,Basic,West,Small Business,1,Low,0,0,1,Email,0,0,1,33.9,39.0,0,0.0,4.3,145.8,-19.4,3,8,0
CUST-1037,60,Basic,East,Small Business,1,Medium,1,0,1,Call,0,0,1,17.6,22.0,0,0.0,4.9,121.3,-3.7,0,29,0
CUST-1038,14,Standard,South,Individual,1,Medium,0,1,1,Chat,0,0,1,1.6,25.1,0,0.1,2.6,119.7,5.6,3,15,1
CUST-1039,9,Premium,East,Individual,0,High,1,0,0,Call,0,0,1,3.0,5.8,0,0.0,3.1,109.9,-1.1,1,156,0
CUST-1040,53,Basic,East,Individual,0,Medium,0,0,0,Email,0,0,1,26.2,38.7,0,0.0,4.7,121.5,-3.3,4,150,0
CUST-1041,2,Basic,North,Enterprise,0,Medium,1,0,0,Chat,0,0,1,28.3,75.3,0,0.0,3.4,126.1,-19.6,1,55,0
CUST-1042,60,Basic,South,Individual,1,High,0,0,1,Call,0,0,1,63.4,74.6,1,0.0,3.2,40.2,-27.4,4,25,1
CUST-1043,71,Basic,East,Small Business,2,Medium,1,0,2,Email,0,0,0,4.6,29.3,0,0.0,1.0,115.2,-11.1,2,7,1
CUST-1044,44,Basic,West,Individual,1,Medium,1,1,1,Email,0,0,0,20.9,25.4,0,4.6,4.2,152.9,-11.8,8,3,0
CUST-1045,8,Standard,West,Enterprise,0,Low,0,1,1,Chat,1,0,0,11.3,12.2,0,2.8,3.6,102.5,-4.7,2,106,0
CUST-1046,47,Basic,North,Small Business,2,Medium,0,1,2,Chat,0,0,1,2.4,8.8,0,0.1,4.6,125.1,9.9,0,23,1
CUST-1047,35,Basic,West,Individual,1,Low,1,0,2,Ticket,0,0,1,8.2,21.0,0,0.0,2.9,87.9,-12.0,0,27,0
CUST-1048,36,Standard,West,Small Business,0,High,1,1,0,Ticket,0,1,0,9.2,24.5,0,7.0,4.7,44.6,-30.0,2,175,1
CUST-1049,50,Basic,East,Individual,1,Low,0,1,1,Call,0,0,0,12.1,23.6,0,3.7,3.7,76.8,11.4,3,20,1
CUST-1050,4,Basic,West,Individual,2,Low,0,0,2,Ticket,0,1,1,6.9,15.4,0,0.0,2.4,178.3,-5.1,2,17,1
CUST-1051,2,Basic,West,Individual,0,Low,0,1,0,Ticket,0,0,1,16.1,79.5,0,0.7,3.4,177.0,-11.2,7,86,1
CUST-1052,6,Standard,East,Enterprise,0,Low,0,0,1,Chat,0,0,1,18.7,36.1,0,0.0,3.5,90.8,32.0,5,165,0
CUST-1053,54,Basic,North,Enterprise,0,Low,0,0,1,Call,1,0,1,10.6,56.8,0,0.0,3.5,110.7,-23.0,4,110,1
CUST-1054,4,Standard,North,Individual,0,Medium,1,1,0,Email,0,0,1,9.3,12.3,0,0.6,4.1,141.1,-4.2,4,57,0
CUST-1055,54,Basic,South,Small Business,3,High,0,1,6,Chat,0,0,1,21.3,136.7,0,3.5,4.2,102.5,10.2,7,7,0
CUST-1056,63,Standard,West,Small Business,2,Low,0,0,2,Email,1,0,0,1.1,19.3,0,0.0,2.2,119.5,-16.8,4,1,1
CUST-1057,18,Basic,East,Small Business,1,Low,1,2,1,Ticket,4,1,1,40.3,93.9,0,0.1,3.6,157.9,-12.2,1,29,0
CUST-1058,44,Standard,South,Individual,3,Medium,1,0,4,Ticket,0,0,0,73.5,87.5,1,0.0,2.4,112.8,-10.6,2,21,1
CUST-1059,34,Premium,North,Individual,1,Low,0,2,3,Ticket,0,0,0,1.1,3.6,0,3.6,3.0,116.3,-12.9,0,18,1
CUST-1060,62,Standard,North,Small Business,2,High,0,0,2,Email,0,0,0,24.7,31.1,0,0.0,4.0,97.5,21.0,10,23,0
CUST-1061,14,Basic,East,Individual,2,Low,0,0,4,Call,0,0,0,5.8,6.6,0,0.0,4.3,78.7,-24.0,1,3,0
CUST-1062,48,Basic,South,Individual,2,Medium,0,0,2,Chat,0,0,1,11.2,13.7,0,0.0,2.3,128.4,-0.7,4,29,1
CUST-1063,15,Basic,South,Small Business,2,Low,0,0,2,Ticket,1,0,1,6.3,102.9,0,0.0,3.4,141.5,-0.4,0,17,1
CUST-1064,62,Basic,East,Individual,0,Low,0,0,0,Ticket,0,0,0,4.8,41.9,0,0.0,3.3,78.2,-27.6,1,143,1
CUST-1065,40,Basic,East,Enterprise,0,Medium,0,1,2,Call,0,0,0,11.6,46.4,0,0.4,3.1,42.2,17.5,11,93,1
CUST-1066,53,Standard,South,Individual,0,Low,0,1,1,Chat,0,0,0,9.3,9.3,0,7.2,4.3,16.9,-63.7,7,101,1
CUST-1067,24,Basic,North,Enterprise,0,High,0,0,0,Call,0,0,1,11.1,20.1,0,0.0,4.6,108.7,-13.4,0,70,0
CUST-1068,26,Standard,West,Individual,0,Medium,1,0,0,Call,0,0,1,33.0,55.9,0,0.0,5.0,98.3,-21.8,4,81,0
CUST-1069,60,Standard,North,Individual,1,Medium,0,0,2,Ticket,1,0,1,76.9,80.8,1,0.0,4.8,151.1,3.2,2,23,1
CUST-1070,41,Standard,East,Individual,0,High,1,0,0,Ticket,0,0,1,3.1,11.3,0,0.0,4.7,93.3,-20.5,0,172,0
CUST-1071,29,Basic,South,Small Business,0,Low,0,0,2,Call,0,0,0,27.3,30.7,0,0.0,3.0,142.2,-10.3,8,122,1
CUST-1072,15,Premium,South,Small Business,0,Medium,0,0,0,Email,1,0,1,15.9,33.6,0,0.0,5.0,77.3,-10.7,10,165,1
CUST-1073,45,Basic,West,Individual,1,Low,1,0,4,Ticket,0,0,1,9.3,27.6,0,0.0,2.4,116.2,2.8,3,15,0
CUST-1074,65,Standard,South,Individual,1,Medium,0,0,1,Chat,0,0,1,21.6,26.6,0,0.0,4.4,84.4,-9.3,1,10,0
CUST-1075,71,Standard,West,Small Business,2,Medium,0,0,2,Ticket,0,0,0,42.7,52.4,0,0.0,3.5,94.3,22.3,2,16,0
CUST-1076,9,Standard,North,Individual,0,Low,0,0,0,Email,0,0,0,20.5,29.5,0,0.0,5.0,15.8,55.9,0,140,0
CUST-1077,1,Standard,North,Small Business,0,Low,0,0,1,Email,1,0,1,24.3,46.9,0,0.0,5.0,62.6,-13.2,6,157,0
CUST-1078,8,Basic,South,Individual,0,Medium,0,1,0,Call,0,2,0,3.2,20.1,0,0.6,2.9,86.1,-2.8,11,160,0
CUST-1079,63,Basic,South,Small Business,0,High,0,0,0,Call,1,0,0,25.0,26.0,0,0.0,4.0,85.9,-20.4,0,39,0
CUST-1080,11,Standard,East,Small Business,1,High,0,0,2,Email,0,0,0,85.6,88.0,1,0.0,3.1,124.5,-8.3,5,4,0
CUST-1081,8,Basic,East,Enterprise,1,Medium,0,0,2,Chat,1,0,1,64.2,91.7,1,0.0,1.6,70.1,-20.6,0,12,0
CUST-1082,35,Premium,South,Small Business,2,Low,2,0,2,Call,0,1,1,10.5,61.1,0,0.0,2.5,124.8,-19.6,1,5,1
CUST-1083,35,Basic,South,Individual,1,High,1,2,2,Email,0,0,0,42.8,58.0,0,0.4,3.0,46.5,-41.0,3,15,1
CUST-1084,33,Basic,North,Individual,2,High,1,1,2,Chat,0,0,1,17.9,24.7,0,3.7,4.5,116.7,-16.2,1,10,1
CUST-1085,5,Basic,South,Small Business,1,Low,0,0,1,Chat,0,0,0,2.5,6.3,0,0.0,3.5,88.0,-4.7,0,11,0
CUST-1086,41,Basic,East,Individual,2,Low,2,0,3,Email,0,0,1,76.5,96.9,1,0.0,4.6,68.9,-32.7,20,10,0
CUST-1087,28,Standard,North,Small Business,0,High,0,0,0,Email,0,0,1,19.0,34.3,0,0.0,4.8,129.9,54.4,0,130,0
CUST-1088,7,Standard,West,Small Business,0,High,1,0,0,Chat,1,0,0,2.2,38.2,0,0.0,4.1,151.7,-3.0,3,70,1
CUST-1089,12,Standard,East,Individual,2,Low,2,0,2,Chat,0,1,1,17.0,52.0,0,0.0,2.8,133.2,-19.1,3,4,1
CUST-1090,34,Premium,East,Individual,2,High,0,0,3,Email,0,2,0,25.6,31.1,0,0.0,2.9,101.6,7.0,14,6,1
CUST-1091,33,Premium,North,Individual,0,Medium,0,1,1,Email,0,1,0,5.4,29.8,0,1.9,3.2,149.5,-17.1,7,165,1
CUST-1092,48,Premium,West,Individual,1,High,0,0,2,Ticket,0,0,1,22.9,27.3,0,0.0,4.9,116.0,-7.2,4,20,0
CUST-1093,23,Basic,East,Individual,0,Low,1,0,0,Chat,0,0,1,67.6,90.4,1,0.0,2.9,95.4,0.7,6,179,0
CUST-1094,62,Standard,South,Individual,2,Medium,0,1,2,Call,2,0,0,5.3,8.0,0,7.7,3.0,62.6,-25.1,9,27,1
